Project_name,SiteID,BASIN,LOCATION,RIVMILE,sys_sample_code,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Nitrate+Nitrite as Nitrogen,9/6/2018 12:00,NO3NO2N,T,34.4,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Nitrogen,9/6/2018 12:00,KN,T,35.8,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"Nitrogen, ammonia (As N)",9/6/2018 12:00,7664-41-7,T,0.681,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"NITROGEN, KJELDAHL, TOTAL",9/6/2018 12:00,KN,T,1.39,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"NITROGEN, NITRATE (AS N)",9/6/2018 12:00,14797-55-8,T,34.2,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"NITROGEN, NITRITE",9/6/2018 12:00,14797-65-0,T,0.141,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"Orthophosphate as Phosphorus, Dissolved",9/6/2018 12:00,PDORTHO,D,0.0056,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"PHOSPHORUS, TOTAL (AS P)",9/6/2018 12:00,7723-14-0,T,0.0675,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Sodium,9/6/2018 12:00,7440-23-5,T,1150000,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,SULFATE (AS SO4),9/6/2018 12:00,14808-79-8,T,58.8,mg/l
