"Project_name","SiteID","BASIN","LOCATION","RIVMILE","SAMPLE_DATE","cas_rn","chemical_name","fraction","result_value","result_unit","Health..Water.Source.","Health.Fish.Consumption.","Aquatic.Chronic.","Aquatic..Acute.","Wildlife","Aesthetic.Water.Source.","Aesthetic.Food.Source.","Recreation","HWS","HFS","AC","AA","W","EWS","EFS","R"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-01","PER_SAT","Percent Saturation","T",82,"std unit","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-01","PH","PH","T",7.05,"pH units","NS","NS","8.5-6.5","NS","NS","NS","NS","NS","NS","NS","NV","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-01","7723-14-0","PHOSPHORUS, TOTAL (AS P)","T",218,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-01","SALI","Salinity","T",1.96,"ppm","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-01","7440-23-5","Sodium","T",779000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-01","TDS","TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)","T",2440000,"ug/l","NS","NS","500000","NS","NS","NS","NS","NS","NS","NS","V","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-01","TEMP","water temperature","T",23.2,"deg c","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","ALK","ALKALINITY, TOTAL (AS CaCO3)","T",45600,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7429-90-5","Aluminum","D",110,"ug/l","NS","NS","100","NS","NS","NS","NS","NS","NS","NS","V","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7440-38-2","Arsenic","T",1.1,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","7440-70-2","Calcium","T",64100,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","DOC","Carbon, Dissolved Organic (DOC)","D",3500,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
"Ramapo RAS 2018","15-KJSTP-001",15,"KJSTP","001","2018-08-22","16887-00-6","CHLORIDE (AS CL)","T",1520000,"ug/l","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS"
