Project_name,SiteID,BASIN,LOCATION,RIVMILE,SAMPLE_DATE,cas_rn,chemical_name,fraction,result_value,result_unit,Health..Water.Source.,Health.Fish.Consumption.,Aquatic.Chronic.,Aquatic..Acute.,Wildlife,Aesthetic.Water.Source.,Aesthetic.Food.Source.,Recreation,HWS,HFS,AC,AA,W,EWS,EFS,R
Ramapo RAS 2095,15-KJSTP-001,15,KJSTP,001,8/1/2018,SALI,Salinity,T,1.96,ppm,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2096,15-KJSTP-001,15,KJSTP,001,8/1/2018,7440-23-5,Sodium,T,779000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2097,15-KJSTP-001,15,KJSTP,001,8/1/2018,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",T,2440000,ug/l,NS,NS,500000,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2098,15-KJSTP-001,15,KJSTP,001,8/1/2018,TEMP,water temperature,T,23.2,deg c,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2099,15-KJSTP-001,15,KJSTP,001,8/22/2018,ALK,"ALKALINITY, TOTAL (AS CaCO3)",T,45600,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2100,15-KJSTP-001,15,KJSTP,001,8/22/2018,7429-90-5,Aluminum,D,110,ug/l,NS,NS,100,NS,NS,NS,NS,NS,NS,NS,V,NS,NS,NS,NS,NS
Ramapo RAS 2101,15-KJSTP-001,15,KJSTP,001,8/22/2018,7440-38-2,Arsenic,T,1.1,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2102,15-KJSTP-001,15,KJSTP,001,8/22/2018,7440-70-2,Calcium,T,64100,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2103,15-KJSTP-001,15,KJSTP,001,8/22/2018,DOC,"Carbon, Dissolved Organic (DOC)",D,3500,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2104,15-KJSTP-001,15,KJSTP,001,8/22/2018,16887-00-6,CHLORIDE (AS CL),T,1520000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2105,15-KJSTP-001,15,KJSTP,001,8/22/2018,COND,Conductivity,T,4988,uS/cm,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2106,15-KJSTP-001,15,KJSTP,001,8/22/2018,7440-50-8,Copper,D,22.8,ug/l,NS,NS,18.92311074,30.66236476,NS,NS,NS,NS,NS,NS,V,NV,NS,NS,NS,NS
Ramapo RAS 2107,15-KJSTP-001,15,KJSTP,001,8/22/2018,7440-50-8,Copper,T,24.6,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2108,15-KJSTP-001,15,KJSTP,001,8/22/2018,7782-44-7,Dissolved Oxygen,D,7600,ug/l,NS,NS,4000,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2109,15-KJSTP-001,15,KJSTP,001,8/22/2018,16984-48-8,"Fluoride, undistilled",T,150,ug/l,NS,NS,4688.727478,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2110,15-KJSTP-001,15,KJSTP,001,8/22/2018,HARD,HARDNESS (AS CACO3),T,240000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2111,15-KJSTP-001,15,KJSTP,001,8/22/2018,7439-89-6,Iron,T,129,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2112,15-KJSTP-001,15,KJSTP,001,8/22/2018,7439-95-4,Magnesium,T,19400,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2113,15-KJSTP-001,15,KJSTP,001,8/22/2018,7439-96-5,Manganese,T,108,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2114,15-KJSTP-001,15,KJSTP,001,8/22/2018,7440-02-0,Nickel,D,6.7,ug/l,NS,NS,109.0728514,982.0267286,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2115,15-KJSTP-001,15,KJSTP,001,8/22/2018,NO3NO2N,Nitrate+Nitrite as Nitrogen,T,23700,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2116,15-KJSTP-001,15,KJSTP,001,8/22/2018,KN,Nitrogen,T,24500,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2117,15-KJSTP-001,15,KJSTP,001,8/22/2018,7664-41-7,"Nitrogen, ammonia (As N)",T,174,ug/l,NS,NS,10.98,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2118,15-KJSTP-001,15,KJSTP,001,8/22/2018,14797-55-8,"NITROGEN, NITRATE (AS N)",T,23500,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2119,15-KJSTP-001,15,KJSTP,001,8/22/2018,PDORTHO,"Orthophosphate as Phosphorus, Dissolved",D,27.3,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2120,15-KJSTP-001,15,KJSTP,001,8/22/2018,PER_SAT,Percent Saturation,T,94,std unit,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2121,15-KJSTP-001,15,KJSTP,001,8/22/2018,PH,PH,T,7.2,pH units,NS,NS,8.5-6.5,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2122,15-KJSTP-001,15,KJSTP,001,8/22/2018,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",T,112,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2123,15-KJSTP-001,15,KJSTP,001,8/22/2018,SALI,Salinity,T,2.68,ppm,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2124,15-KJSTP-001,15,KJSTP,001,8/22/2018,7440-23-5,Sodium,T,944000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2125,15-KJSTP-001,15,KJSTP,001,8/22/2018,14808-79-8,SULFATE (AS SO4),T,49400,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2126,15-KJSTP-001,15,KJSTP,001,8/22/2018,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",T,2890000,ug/l,NS,NS,500000,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2127,15-KJSTP-001,15,KJSTP,001,8/22/2018,TEMP,water temperature,T,23.7,deg c,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2128,15-KJSTP-001,15,KJSTP,001,8/22/2018,7440-66-6,Zinc,D,9.6,ug/l,NS,NS,173.9108975,246.0413843,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
